,Al_composition,Fe_composition,lattice_parameter_500K_ord,bulk_modulus_500K_ord,internal_energy_500K_ord,configurational_entropy_500K_ord
0,0.53,0.53,2.8752931126853873,88.93101797753557,-3.356670853926357,0.0
1,0.52,0.52,2.8748544690136355,94.87891553735825,-3.34749469411106,0.0
2,0.51,0.51,2.8728335747044023,109.98585879572354,-3.339675803848663,0.0
3,0.5,0.5,2.8757630704814643,116.43927948534812,-3.3363667954255454,0.0
4,0.49,0.49,2.881037058603741,111.25796923671092,-3.3204632119348494,0.0
5,0.48,0.48,2.886325093882772,110.34020589600229,-3.3047794811247804,0.0
6,0.47,0.47,2.8895989155641164,106.62711685476381,-3.2864213277484855,0.0
