Al_composition,Fe_composition,internal_energy_800K_ord,internal_energy_800K_ord_error,bulk_modulus_800K_ord,bulk_modulus_800K_ord_error,bulk_modulus_800K_ord_up,bulk_modulus_800K_ord_down,bulk_modulus_derivative_800K_ord,bulk_modulus_derivative_800K_ord_error,bulk_modulus_derivative_800K_ord_up,bulk_modulus_derivative_800K_ord_down,lattice_parameter_800K_ord,lattice_parameter_800K_ord_error,configurational_entropy_800K_ord
0.53,0.47,-3.4050097564607293,0.0005903403751482,84.75998682789277,1.9339638128371237,86.6939506407299,82.82602301505565,8.124913784427157,0.6376194400789849,8.762533224506143,7.4872943443481725,2.8821258530624947,0.0010673915578556,0.12659164940590795
0.52,0.48,-3.3953385548006465,0.0004430099351348,94.69657038365648,1.3763922938844109,96.07296267754089,93.32017808977207,6.507250248190352,0.4557806100035769,6.963030858193929,6.0514696381867745,2.8808656885646564,0.0007746922574298,0.1262767351389527
0.51,0.49,-3.3856964643238414,0.0004671552532726,101.84167758538844,1.4278162694183314,103.26949385480677,100.41386131597011,5.677525504362306,0.4570436378445441,6.13456914220685,5.220481866517762,2.8808874016716426,0.000780443763483,0.12589198039800203
0.5,0.5,-3.378149410555414,0.0003162550938101,108.87027714222334,0.95892004514146,109.8291971873648,107.91135709708189,4.602704842716876,0.2955569537323004,4.898261796449177,4.307147888984575,2.8816771382873707,0.0005056386091437,0.12430116233902458
0.49,0.51,-3.3624720141417104,0.0002870581732626,107.1459955340866,0.9298566568845462,108.07585219097115,106.21613887720204,4.41571140096341,0.2641163331363298,4.67982773409974,4.15159506782708,2.885779079869554,0.0004426129806391,0.12475526107977437
0.48,0.52,-3.346076021034526,0.0003120931583467,103.91951975612942,1.0958221323216446,105.01534188845106,102.82369762380777,4.610834542470159,0.2821383781066667,4.892972920576826,4.3286961643634925,2.8903995741579718,0.0004590808692612,0.12514089011816792
0.47,0.53,-3.331453136507861,0.0002733104400351,101.534221515346,1.0254895141239528,102.55971102946995,100.50873200122206,4.965266965195086,0.2411447289040144,5.206411694099101,4.7241222362910715,2.8942236579132743,0.0003824634895133,0.12545736980499084
