Al_composition,debye_temperature_500K_ord,debye_temperature_500K_ord_error,debye_temperature_500K_ord_up,debye_temperature_500K_ord_down,entropy_500K_ord,entropy_500K_ord_error,entropy_500K_ord_up,entropy_500K_ord_down,configurational_entropy_500K_ord,configurational_entropy_500K_ord_error,configurational_entropy_500K_ord_up,configurational_entropy_500K_ord_down,free_energy_500K_ord,free_energy_500K_ord_error,free_energy_500K_ord_up,free_energy_500K_ord_down
0.53,469.8484819602444,3.578593274295662,473.42707523454004,466.26988868594873,4.253290912485536,0.031222025772945042,4.284512938258481,4.222068886712591,0.0,0.0,0.0,0.0,-3.607455103749835,0.0015183555078064344,-3.6059367482420286,-3.608973459257641
0.52,492.185717647576,2.7571869716972635,494.94290461927324,489.42853067587873,4.118735668274861,0.026177915122343978,4.144913583397205,4.0925577531525175,0.0,0.0,0.0,0.0,-3.592856563768222,0.001310164740774473,-3.5915463990274477,-3.5941667285089967
0.51,508.1738178756821,1.6344055234714667,509.8082233991536,506.53941235221066,4.026516832306777,0.021928182017240155,4.048445014324018,4.004588650289537,0.0,0.0,0.0,0.0,-3.5819969876898585,0.0010964414528649748,-3.5809005462369936,-3.5830934291427234
0.5,516.4005127592703,1.436260868428024,517.8367736276983,514.9642518908423,3.9856777767633975,0.02058671640137902,4.006264493164776,3.9650910603620186,0.0,0.0,0.0,0.0,-3.5748208711645293,0.0009849352692508913,-3.5738359358952785,-3.57580580643378
0.49,511.1282308968458,1.4352836542563043,512.5635145511021,509.6929472425895,4.0141087465020915,0.021066759353590144,4.0351755058556815,3.9930419871485014,0.0,0.0,0.0,0.0,-3.559858581387326,0.0009945480750304773,-3.5588640333122954,-3.5608531294623567
0.48,510.95934806580016,1.7401948666813516,512.6995429324816,509.2191531991188,4.0132818427225,0.021136056928074097,4.034417899650574,3.992145785794426,0.0,0.0,0.0,0.0,-3.5442930764336653,0.0010543223607802493,-3.543238754072885,-3.5453473987944455
0.47,503.4938362951046,1.782433829069256,505.27627012417383,501.71140246603534,4.051647731001486,0.02276408320787941,4.074411814209365,4.028883647793607,0.0,0.0,0.0,0.0,-3.528571573984539,0.0011120849314709368,-3.527459489053068,-3.5296836589160097
