,Al_composition,Fe_composition,lattice_parameter_500K_ord,bulk_modulus_500K_ord,internal_energy_500K_ord,configurational_entropy_500K_ord
0,0.53,0.53,2.8742398591143306,99.30003739544429,-3.4416595688932956,0.0
1,0.52,0.52,2.875055231720152,108.04982003774221,-3.433113341923688,0.0
2,0.51,0.51,2.8758778120161237,114.19327079476521,-3.4263006438475734,0.0
3,0.5,0.5,2.87696470280328,113.93767090854611,-3.420583971261448,0.0
4,0.49,0.49,2.8811607650098927,111.78255707562677,-3.4039735617671183,0.0
5,0.48,0.48,2.8861864182562464,111.47055480502179,-3.3885141388409203,0.0
6,0.47,0.47,2.8919922608984625,108.0507836483765,-3.3714690476059603,0.0
