Al_composition,debye_temperature_500K_ord,debye_temperature_500K_ord_error,debye_temperature_500K_ord_up,debye_temperature_500K_ord_down,entropy_500K_ord,entropy_500K_ord_error,entropy_500K_ord_up,entropy_500K_ord_down,configurational_entropy_500K_ord,configurational_entropy_500K_ord_error,configurational_entropy_500K_ord_up,configurational_entropy_500K_ord_down,free_energy_500K_ord,free_energy_500K_ord_error,free_energy_500K_ord_up,free_energy_500K_ord_down
0.53,481.12278184884997,2.7205589489238,483.84334079777375,478.4022228999262,4.185345432390697,0.02727239667505917,4.212617829065756,4.158073035715638,0.0,0.0,0.0,0.0,-3.6328059976006934,0.0013365080309270458,-3.6314694895697666,-3.6341425056316203
0.52,499.05050346468363,2.0394543121758244,501.0899577768595,497.0110491525078,4.078500065786152,0.022867773154758835,4.10136783894091,4.055632292631393,0.0,0.0,0.0,0.0,-3.6193368510940873,0.0012070540465534045,-3.618129797047534,-3.6205439051406407
0.51,513.8724437679593,1.3043760176744748,515.1768197856338,512.5680677502849,3.9898813444138406,0.01990889367283526,4.0097902380866755,3.9699724507410052,0.0,0.0,0.0,0.0,-3.6091756260519605,0.0009738916780660992,-3.6082017343738944,-3.6101495177300267
0.5,515.3119957362196,1.405529819544635,516.7175255557643,513.906465916675,3.99111594166275,0.019758773107395947,4.0108747147701465,3.9713571685553544,0.0,0.0,0.0,0.0,-3.602395418176642,0.0010274971496195846,-3.6013679210270224,-3.603422915326262
0.49,509.5128226085701,1.5710787430143154,511.0839013515844,507.9417438655558,4.01818960770052,0.02064852663856367,4.038838134339083,3.997541081061956,0.0,0.0,0.0,0.0,-3.587832936400654,0.0010643336888078577,-3.5867686027118464,-3.5888972700894617
0.48,509.34031650567357,1.6980969045558265,511.0384134102294,507.64221960111774,4.0193961475751205,0.02072703582359763,4.040123183398718,3.9986691117515227,0.0,0.0,0.0,0.0,-3.572061646656812,0.0011111889039272208,-3.5709504577528848,-3.573172835560739
0.47,502.02343974241813,1.7347844437286428,503.7582241861468,500.2886552986895,4.062284804442078,0.023113374573887454,4.085398179015966,4.03917142986819,0.0,0.0,0.0,0.0,-3.556815278199232,0.001063986572985767,-3.555751291626246,-3.5578792647722177
