Al_composition,Fe_composition,internal_energy_700K_ord,internal_energy_700K_ord_error,bulk_modulus_700K_ord,bulk_modulus_700K_ord_error,bulk_modulus_700K_ord_up,bulk_modulus_700K_ord_down,bulk_modulus_derivative_700K_ord,bulk_modulus_derivative_700K_ord_error,bulk_modulus_derivative_700K_ord_up,bulk_modulus_derivative_700K_ord_down,lattice_parameter_700K_ord,lattice_parameter_700K_ord_error,configurational_entropy_700K_ord
0.53,0.47,-3.43516707029037,0.0004141532061464,91.24873283148264,1.2823006423817975,92.53103347386444,89.96643218910084,7.042554361073933,0.4400693415295438,7.482623702603477,6.60248501954439,2.879962262748192,0.0007483736488307,0.09628527896808303
0.52,0.48,-3.425700908230194,0.0003371011904992,99.729575466699,0.9985759668417415,100.72815143354075,98.73099949985726,6.266072176754472,0.3409764332212214,6.607048609975693,5.925095743533251,2.8781997467405014,0.0005865993071747,0.09593260971864223
0.51,0.49,-3.4172507440516404,0.000257290936366,107.29635162572698,0.7488574559005646,108.04520908162755,106.54749416982642,4.956549341379652,0.2482644826993748,5.204813824079027,4.708284858680278,2.8787669889295384,0.0004292502520495,0.09552874504583658
0.5,0.5,-3.4105271169061,0.0002611945567196,111.18119631676372,0.7693337160663682,111.95053003283009,110.41186260069735,4.379735687596659,0.2435058592010928,4.623241546797752,4.136229828395566,2.880194376964011,0.0004197700883608,0.09697367813672185
0.49,0.51,-3.394868260418037,0.0002104992627274,110.21365791695024,0.6566859941172529,110.8703439110675,109.55697192283299,4.29415672497764,0.1924660558137944,4.486622780791434,4.101690669163846,2.8837020193655567,0.0003264377718212,0.09742940916042468
0.48,0.52,-3.3787618357243203,0.0001811305829627,107.75348739805747,0.6196095605362552,108.37309695859373,107.13387783752121,4.08956128525451,0.1622627020860733,4.2518239873405825,3.927298583168436,2.889319081789281,0.0002663556476296,0.09783340579107373
0.47,0.53,-3.363107328913839,0.0002171899291044,104.43517760492752,0.8025156844473356,105.23769328937485,103.63266192048019,4.1303113771865565,0.1926027978814613,4.322914175068018,3.937708579305095,2.893959828739779,0.0003062161656108,0.09818504499570485
