Al_composition,Fe_composition,internal_energy_500K_ord,internal_energy_500K_ord_error,bulk_modulus_500K_ord,bulk_modulus_500K_ord_error,bulk_modulus_500K_ord_up,bulk_modulus_500K_ord_down,bulk_modulus_derivative_500K_ord,bulk_modulus_derivative_500K_ord_error,bulk_modulus_derivative_500K_ord_up,bulk_modulus_derivative_500K_ord_down,lattice_parameter_500K_ord,lattice_parameter_500K_ord_error,configurational_entropy_500K_ord_error
0.53,0.47,-3.4417921941102203,0.0003879787181376,100.26848424894548,1.092139936804136,101.36062418574961,99.17634431214135,6.644707209854203,0.403105631582502,7.047812841436705,6.241601578271701,2.874295294797056,0.0007001609744652,0.0
0.52,0.48,-3.432917308769186,0.0003202936438454,107.77065958636422,0.8820827395852119,108.65274232594943,106.888576846779,5.195676355773964,0.3171500333581289,5.512826389132092,4.878526322415835,2.874794959761457,0.0005545624753244,0.0
0.51,0.49,-3.4261357055230075,0.0002169384011574,114.12314837713572,0.5946806240124196,114.71782900114815,113.5284677531233,4.0848812089349735,0.2051935226964983,4.290074731631472,3.879687686238475,2.875932027197665,0.0003594570859111,0.0
0.5,0.5,-3.4202418440120765,0.0002196376869193,114.56957529464748,0.6154048305014743,115.18498012514895,113.954170464146,4.1304139490072505,0.2045057534328599,4.334919702440111,3.9259081955743906,2.8773605317968487,0.0003566642580123,0.0
0.49,0.51,-3.4042008992873205,0.0002255905726386,111.76873948703675,0.6764727208828148,112.44521220791957,111.09226676615394,4.215972097432572,0.2078071222350587,4.42377921966763,4.008164975197514,2.881457888587296,0.0003565038802533,0.0
0.48,0.52,-3.388399244581552,0.0002331208378481,111.39470463029276,0.7573339305453908,112.15203856083815,110.63737069974738,3.774730316003589,0.2088285229824403,3.9835588389860295,3.5659017930211485,2.88659873000796,0.0003491735881648,0.0
0.47,0.53,-3.3712000061639324,0.000214935862251,107.97065887630896,0.7605411536603707,108.73120002996933,107.21011772264859,4.013522417472208,0.1892030652233405,4.2027254826955485,3.8243193522488674,2.891411459493112,0.0003062855581728,0.0
