,Al_composition,Fe_composition,lattice_parameter_500K_ord,bulk_modulus_500K_ord,internal_energy_500K_ord,configurational_entropy_500K_ord
0,0.53,0.53,2.873825350955576,100.28827932162673,-3.4413598327144665,0.0
1,0.52,0.52,2.874810699852481,107.54212238219968,-3.432682022367296,0.0
2,0.51,0.51,2.8760484129668433,113.1812950005388,-3.42611750732951,0.0
3,0.5,0.5,2.877915121267853,114.15222310874134,-3.4208359319040538,0.0
4,0.49,0.49,2.881152930890556,112.27271328484369,-3.4043358396015737,0.0
5,0.48,0.48,2.887188679105855,110.56264006633893,-3.3886568919036235,0.0
6,0.47,0.47,2.8915482570797977,108.31781571282595,-3.371274611797756,0.0
