Al_composition,debye_temperature_800K_ord,debye_temperature_800K_ord_error,debye_temperature_800K_ord_up,debye_temperature_800K_ord_down,entropy_800K_ord,entropy_800K_ord_error,entropy_800K_ord_up,entropy_800K_ord_down,configurational_entropy_800K_ord,configurational_entropy_800K_ord_error,configurational_entropy_800K_ord_up,configurational_entropy_800K_ord_down,free_energy_800K_ord,free_energy_800K_ord_error,free_energy_800K_ord_up,free_energy_800K_ord_down
0.53,399.08251746664314,11.952976397640839,411.035493864284,387.1295410690023,6.10805934755882,0.10388336877609913,6.211942716334919,6.004175978782721,-0.008726721943445663,3.469446951953614e-18,-0.00872672194344566,-0.008726721943445667,-3.795220597352124,0.00769294542038115,-3.7875276519317427,-3.802913542772505
0.52,441.7197620883109,7.878244497647475,449.5980065859584,433.84151759066344,5.80549100579084,0.06967357284581348,5.875164578636653,5.735817432945026,-0.008705013013538845,1.734723475976807e-18,-0.008705013013538843,-0.008705013013538846,-3.764565132224675,0.005255018765994584,-3.7593101134586804,-3.7698201509906695
0.51,465.68226865168987,5.865918203415465,471.5481868551053,459.8163504482744,5.647707983292767,0.057151995629791404,5.704859978922558,5.590555987662976,-0.008678489560716667,0.0,-0.008678489560716667,-0.008678489560716667,-3.744073428317196,0.004429353741953145,-3.739644074575243,-3.748502782059149
0.5,488.93578088254617,3.1813683235581958,492.1171492061044,485.75441255898795,5.506441714630135,0.04441758960196469,5.5508593042321,5.4620241250281705,-0.008568824927002993,0.0,-0.008568824927002993,-0.008568824927002993,-3.726120224531768,0.0033751559761649123,-3.722745068555603,-3.729495380507933
0.49,487.89511111093594,4.177552803045568,492.0726639139815,483.7175583078904,5.512218392635235,0.04792380285062908,5.560142195485865,5.464294589784606,-0.00860012867779532,1.734723475976807e-18,-0.008600128677795318,-0.008600128677795322,-3.7120303650911963,0.003636088838219184,-3.708394276252977,-3.7156664539294155
0.48,483.6474500674431,4.13939283358419,487.7868429010273,479.50805723385895,5.538714878275991,0.04845099366892649,5.587165871944918,5.490263884607065,-0.008626712401186022,0.0,-0.008626712401186022,-0.008626712401186022,-3.6979562819698057,0.0036184542552260995,-3.6943378277145795,-3.701574736225032
0.47,484.7546780140487,3.390498337629613,488.1451763516783,481.3641796764191,5.528415193592927,0.045495230868896064,5.573910424461824,5.482919962724031,-0.008648529244876845,1.734723475976807e-18,-0.008648529244876843,-0.008648529244876847,-3.6830779623276637,0.003495573884811472,-3.6795823884428525,-3.686573536212475
