Al_composition,debye_temperature_700K_ord,debye_temperature_700K_ord_error,debye_temperature_700K_ord_up,debye_temperature_700K_ord_down,entropy_700K_ord,entropy_700K_ord_error,entropy_700K_ord_up,entropy_700K_ord_down,configurational_entropy_700K_ord,configurational_entropy_700K_ord_error,configurational_entropy_700K_ord_up,configurational_entropy_700K_ord_down,free_energy_700K_ord,free_energy_700K_ord_error,free_energy_700K_ord_up,free_energy_700K_ord_down
0.53,443.90372339865183,4.886983735029394,448.7907071336812,439.01673966362245,5.399404901404161,0.05040137501205176,5.449806276416212,5.349003526392109,-0.0058078317420758,1.734723475976807e-18,-0.005807831742075799,-0.005807831742075802,-3.7529176030686378,0.0032954965890128565,-3.7496221064796247,-3.756213099657651
0.52,473.8938691814055,3.364612178263822,477.2584813596693,470.52925700314165,5.2041925430867115,0.040628188936156835,5.244820732022869,5.163564354150554,-0.005786559085618776,2.6020852139652106e-18,-0.0057865590856187735,-0.005786559085618779,-3.732604847949005,0.0028022376356963436,-3.7298026103133086,-3.7354070855847015
0.51,496.7501091981402,2.320847648805373,499.0709568469456,494.4292615493348,5.066494573689781,0.03595856580176219,5.1024531394915424,5.030536007888019,-0.005762198372419812,0.0,-0.005762198372419812,-0.005762198372419812,-3.7168087050019496,0.0023835753638137675,-3.7144251296381356,-3.7191922803657635
0.5,506.83890025881726,1.708505273711349,508.5474055325286,505.1303949851059,5.013588698514208,0.03257375240544691,5.046162450919654,4.981014946108761,-0.005849355291528922,8.673617379884035e-19,-0.005849355291528921,-0.005849355291528923,-3.705750202276776,0.0021222871128881637,-3.703627915163888,-3.707872489389664
0.49,507.9489257911553,1.9302512015028586,509.8791769926582,506.01867458965245,4.9976501641855595,0.032729030772203536,5.030379194957763,4.964921133413356,-0.00587684453114765,8.673617379884035e-19,-0.005876844531147649,-0.005876844531147651,-3.689441661473189,0.0021718647005780902,-3.687269796772611,-3.691613526173767
0.48,500.36953854572,1.9605827252784436,502.33012127099846,498.4089558204415,5.046012307512777,0.035662342390833844,5.081674649903611,5.010349965121943,-0.005901213203911775,8.673617379884035e-19,-0.005901213203911774,-0.005901213203911776,-3.6756335292139903,0.002296577774753336,-3.673336951439237,-3.6779301069887436
0.47,499.09682297597055,2.1559342219279625,501.2527571978985,496.9408887540426,5.05699040677375,0.03572928681122858,5.092719693584979,5.021261119962521,-0.005922423729095917,0.0,-0.005922423729095917,-0.005922423729095917,-3.6614252613174587,0.00248453872426926,-3.6589407225931896,-3.663909800041728
