,Al_composition,Fe_composition,lattice_parameter_600K_ord,bulk_modulus_600K_ord,internal_energy_600K_ord,configurational_entropy_600K_ord
0,0.53,0.53,2.876953159223164,91.05624079025601,-3.4087966151563314,0.0622230725599913
1,0.52,0.52,2.874217194783097,101.96681456468218,-3.40181191663178,0.0618773924685537
2,0.51,0.51,2.877266052039088,109.40333177126828,-3.3932466789943465,0.0615012678981372
3,0.5,0.5,2.8776185815520394,114.1986343945054,-3.3877726560305805,0.0608701583711124
4,0.49,0.49,2.882564979097445,110.3204676976646,-3.3711387743958428,0.0612756559308292
5,0.48,0.48,2.8876436098815095,109.17905720478836,-3.3560856978825533,0.0616513084983005
6,0.47,0.47,2.8927639564112897,108.53533257995517,-3.3393700935905106,0.061996650885508
