Al_composition,Fe_composition,internal_energy_600K_ord,internal_energy_600K_ord_error,bulk_modulus_600K_ord,bulk_modulus_600K_ord_error,bulk_modulus_600K_ord_up,bulk_modulus_600K_ord_down,bulk_modulus_derivative_600K_ord,bulk_modulus_derivative_600K_ord_error,bulk_modulus_derivative_600K_ord_up,bulk_modulus_derivative_600K_ord_down,lattice_parameter_600K_ord,lattice_parameter_600K_ord_error,configurational_entropy_600K_ord
0.53,0.47,-3.4376213839656447,0.0004103747091745,95.55465620861854,1.207179230786752,96.76183543940529,94.34747697783179,6.917292537352606,0.432508576921968,7.349801114274574,6.484783960430637,2.876870580850522,0.000744471033184,0.06222307255999136
0.52,0.48,-3.4299373908260877,0.0003097853509692,104.37248938658132,0.8816305253539153,105.25411991193523,103.49085886122741,5.704872353770313,0.3089971053147401,6.013869459085053,5.395875248455574,2.8763605697879884,0.0005365753614623,0.061877392468553796
0.51,0.49,-3.4221525895228955,0.0002258036500345,110.8184529172219,0.6378692331641418,111.45632215038604,110.18058368405777,4.432444962892011,0.2157371883841078,4.648182151276119,4.216707774507903,2.87751988655473,0.0003755793529287,0.06150126789813721
0.5,0.5,-3.415325503215233,0.0002339324610028,113.32671640069488,0.669419274927581,113.99613567562245,112.6572971257673,4.222333890059002,0.2176119054721547,4.439945795531157,4.004721984586848,2.878601282204545,0.0003777543636003,0.060870158371112454
0.49,0.51,-3.399706643876738,0.0002462811437929,112.11419086983344,0.7557260693363249,112.86991693916976,111.35846480049712,4.073413921592508,0.2241042798208855,4.297518201413393,3.849309641771622,2.882974543253691,0.0003818948584759,0.061275655930829225
0.48,0.52,-3.3831164971724283,0.0002566596176304,108.01528545935864,0.8565527752178186,108.87183823457646,107.15873268414082,4.306151616167358,0.2311454259938125,4.53729704216117,4.0750061901735455,2.88764715707555,0.0003832099851623,0.061651308498300535
0.47,0.53,-3.367369968004342,0.0002421303114226,106.6357531296055,0.8691108275063966,107.5048639571119,105.76664230209911,4.3012075528402125,0.2125154801421,4.513723032982313,4.088692072698112,2.892026974235028,0.0003423277712435,0.061996650885508056
