Al_composition,debye_temperature_600K_ord,debye_temperature_600K_ord_error,debye_temperature_600K_ord_up,debye_temperature_600K_ord_down,entropy_600K_ord,entropy_600K_ord_error,entropy_600K_ord_up,entropy_600K_ord_down,configurational_entropy_600K_ord,configurational_entropy_600K_ord_error,configurational_entropy_600K_ord_up,configurational_entropy_600K_ord_down,free_energy_600K_ord,free_energy_600K_ord_error,free_energy_600K_ord_up,free_energy_600K_ord_down
0.53,469.7385969692458,3.025512159997739,472.76410912924354,466.7130848092481,4.777792386382277,0.03409025084937507,4.811882637231652,4.743702135532902,-0.0032170572974966685,1.734723475976807e-18,-0.003217057297496667,-0.0032170572974966703,-3.7009698354033636,0.0020937493845368817,-3.6988760860188266,-3.7030635847879005
0.52,491.36277977632767,2.0500828421912045,493.4128626185189,489.31269693413645,4.646599045725187,0.028871883918909196,4.675470929644097,4.617727161806278,-0.003199184945409162,1.3010426069826053e-18,-0.0031991849454091606,-0.003199184945409163,-3.686670461437723,0.0017140521951671361,-3.684956409242556,-3.68838451363289
0.51,506.5696735484369,1.4314604407264162,508.00113398916335,505.1382131077105,4.564412987189426,0.02675231929612897,4.591165306485555,4.537660667893297,-0.0031797385528694886,8.673617379884035e-19,-0.0031797385528694877,-0.0031797385528694894,-3.674060796189123,0.0014882142915833114,-3.6725725818975397,-3.6755490104807063
0.5,512.5034530237199,1.5152443711427384,514.0186973948627,510.98820865257716,4.5313454606998285,0.025871736058487596,4.557217196758316,4.505473724641341,-0.003147108928103254,8.673617379884035e-19,-0.003147108928103253,-0.003147108928103255,-3.6656790939511303,0.0014595298152624962,-3.664219564135868,-3.6671386237663928
0.49,510.47411772314695,1.723214224498148,512.1973319476451,508.7509034986488,4.542106881193897,0.026594484858614018,4.568701366052511,4.515512396335283,-0.0031680739629357307,4.336808689942018e-19,-0.0031680739629357303,-0.003168073962935731,-3.6506229989140033,0.0015638099583007276,-3.6490591889557025,-3.652186808872304
0.48,501.6944034840724,1.9778440494501153,503.6722475335225,499.71655943462224,4.5863902152501215,0.029744175407151224,4.6161343906572725,4.5566460398429705,-0.0031874959519791325,0.0,-0.0031874959519791325,-0.0031874959519791325,-3.6359832575646687,0.0016396718897884117,-3.6343435856748805,-3.637622929454457
0.47,499.07014944082766,1.9892946669880691,501.05944410781575,497.0808547738396,4.606471963398889,0.0287015578706186,4.6351735212695075,4.57777040552827,-0.0032053508440825352,8.673617379884035e-19,-0.0032053508440825344,-0.003205350844082536,-3.6214148514989324,0.0017167458331088408,-3.6196981056658237,-3.623131597332041
