Al_composition,Fe_composition,internal_energy_500K_ord,internal_energy_500K_ord_error,bulk_modulus_500K_ord,bulk_modulus_500K_ord_error,bulk_modulus_500K_ord_up,bulk_modulus_500K_ord_down,bulk_modulus_derivative_500K_ord,bulk_modulus_derivative_500K_ord_error,bulk_modulus_derivative_500K_ord_up,bulk_modulus_derivative_500K_ord_down,lattice_parameter_500K_ord,lattice_parameter_500K_ord_error,configurational_entropy_500K_ord
0.53,0.47,-3.4134430306866568,0.0005122547570922,95.70518146313216,1.4622696021035666,97.16745106523572,94.2429118610286,8.124318593677895,0.5479695403684112,8.672288134046306,7.5763490533094835,2.873037937481968,0.0009451160012754,0.0
0.52,0.48,-3.4047545453960577,0.0004276779091785,104.85478540301013,1.1814997515691563,106.03628515457929,103.67328565144096,6.005001129075191,0.4321935951097441,6.437194724184935,5.572807533965446,2.8738803578786096,0.00075420810671,0.0
0.51,0.49,-3.39769828625024,0.0002662433865738,111.6226098797184,0.729838268188477,112.35244814790687,110.89277161152992,4.532300864840052,0.2565059326482088,4.788806797488261,4.275794932191843,2.875353905361404,0.0004492291318827,0.0
0.5,0.5,-3.3929726978481263,0.0002288825716421,115.09473678505178,0.6385253833733634,115.73326216842514,114.45621140167842,3.90237962499523,0.2131252642321473,4.115504889227378,3.6892543607630826,2.8773534790035087,0.0003720383231866,0.0
0.49,0.51,-3.376760467413184,0.000216019157223,112.53573089427222,0.6389595177553623,113.17469041202759,111.89677137651685,4.089640351682523,0.1993778995971123,4.289018251279636,3.8902624520854108,2.8807841513954235,0.0003432669428895,0.0
0.48,0.52,-3.361073307806804,0.0002370084354533,112.16114968098482,0.7618495236154749,112.9229992046003,111.39930015736934,3.8510606860119454,0.211606526468333,4.062667212480278,3.6394541595436123,2.885908654495362,0.0003551753594304,0.0
0.47,0.53,-3.343474568987123,0.0002296570564434,108.59776163998572,0.8031312519597761,109.40089289194549,107.79463038802595,4.172321186111049,0.2013792715286251,4.373700457639674,3.9709419145824243,2.8905607417506736,0.0003277513610848,0.0
