Al_composition,Fe_composition,internal_energy_800K_ord,internal_energy_800K_ord_error,bulk_modulus_800K_ord,bulk_modulus_800K_ord_error,bulk_modulus_800K_ord_up,bulk_modulus_800K_ord_down,bulk_modulus_derivative_800K_ord,bulk_modulus_derivative_800K_ord_error,bulk_modulus_derivative_800K_ord_up,bulk_modulus_derivative_800K_ord_down,lattice_parameter_800K_ord,lattice_parameter_800K_ord_error,configurational_entropy_800K_ord
0.53,0.47,-3.433354638993093,0.0004309660131877,91.7678090016282,1.3603197419184745,93.12812874354667,90.40748925970972,6.84609706182177,0.4504060227922494,7.296503084614019,6.395691039029521,2.881420013029274,0.0007621668643584,0.12659164940590795
0.52,0.48,-3.4233747406118247,0.0002896672188032,99.61166993757902,0.8809539150965893,100.4926238526756,98.73071602248244,5.712442063582986,0.2904793689687507,6.002921432551737,5.421962694614235,2.8805413221941234,0.0004966734565006,0.1262767351389527
0.51,0.49,-3.4135812729254247,0.0002842682607629,102.99387081825604,0.8661596079342158,103.86003042619026,102.12771121032182,5.390192614639762,0.2766818680183276,5.6668744826580895,5.113510746621435,2.881047189029967,0.0004728521495522,0.12589198039800203
0.5,0.5,-3.405788527459738,0.0002023379222241,110.23129292852052,0.6150597426794766,110.8463526712,109.61623318584104,3.886921514081073,0.1887372931496426,4.075658807230716,3.6981842209314304,2.882626103273786,0.000322441317172,0.12430116233902458
0.49,0.51,-3.3902942077546503,0.0001749400755016,106.66673853961473,0.5740413748829424,107.24077991449767,106.09269716473179,4.359869221934179,0.1607750714914672,4.520644293425646,4.199094150442712,2.886596130446541,0.0002682018250887,0.12475526107977437
0.48,0.52,-3.3743894618548427,0.0002399421541052,105.48314157975705,0.8453055356048842,106.32844711536193,104.63783604415217,4.145083916460536,0.2159289688874193,4.3610128853479555,3.9291549475731173,2.891029406892065,0.0003503434848071,0.12514089011816792
0.47,0.53,-3.358864943906301,0.0002315328276131,102.95244657868824,0.875444901405212,103.82789148009346,102.07700167728302,4.415232428978857,0.2039611901102738,4.619193619089131,4.211271238868584,2.89517269958246,0.0003215186738823,0.12545736980499084
